// WAIT,フレーム数
// POP,X座標,Y座標,Z座標,X方向,Y方向,Z方向

WAIT,120
POP,8,-10,-6,0.1,0,0
WAIT,120
POP,-12,-10,9,-0.1,0,0
WAIT,120
POP,3,-10,14,0,0,0.1
WAIT,120
POP,-7,-10,-11,0,0,-0.1
POP,13,-10,5,-0.1,0,0
WAIT,120
POP,6,-10,-14,0.1,0,0
WAIT,120
POP,-15,-10,3,0,0,0.1
WAIT,120
POP,11,-10,12,-0.1,0,0
POP,-4,-10,-8,0.1,0,0
WAIT,120
POP,2,-10,10,0,0,-0.1
POP,-10,-10,-13,0.1,0,0
WAIT,120
POP,14,-10,-4,-0.1,0,0
POP,7,-10,13,0,0,0.1
WAIT,120
POP,-13,-10,6,0,0,-0.1
WAIT,120
POP,5,-10,-9,0.1,0,0
POP,-3,-10,12,0,0,0.1
WAIT,120
POP,10,-10,-2,-0.1,0,0
POP,-8,-10,7,0.1,0,0
WAIT,120
POP,12,-10,11,0,0,-0.1
WAIT,120
POP,-6,-10,-15,0.1,0,0
POP,1,-10,8,-0.1,0,0
WAIT,120
POP,-14,-10,-5,0,0,0.1
WAIT,120
POP,9,-10,4,-0.1,0,0
POP,-2,-10,-12,0,0,-0.1
WAIT,120
POP,4,-10,15,0.1,0,0
WAIT,120
POP,-11,-10,9,-0.1,0,0
POP,13,-10,-7,0,0,0.1
